Time,Density,Speeds,Stationary Time,Abnormal Behaviors
23/12/2023 18:09:58,nan,0.19785004327797237,1.0,0
23/12/2023 18:09:59,nan,0.33285825592675855,2.0,0
23/12/2023 18:09:59,nan,0.24064017537203936,3.0,0
23/12/2023 18:10:00,nan,0.18273080613098852,4.0,0
23/12/2023 18:10:01,nan,0.5254909570360276,0.0,0
23/12/2023 18:10:01,nan,0.060851947623866635,1.0,0
23/12/2023 18:10:02,nan,0.5699149877182412,0.0,0
23/12/2023 18:10:03,nan,0.494834792137026,1.0,0
23/12/2023 18:10:04,nan,0.27359108511517316,1.5,0
23/12/2023 18:10:04,nan,0,1.5,0
23/12/2023 18:10:05,nan,0,2.0,0
23/12/2023 18:10:06,nan,0,2.5,0
23/12/2023 18:10:06,nan,0.4169185581040441,3.0,0
23/12/2023 18:10:07,nan,0.23328653843869082,3.5,0
23/12/2023 18:10:08,nan,0.04138342763213649,4.5,0
23/12/2023 18:10:08,nan,0.29671161767408216,5.5,0
23/12/2023 18:10:09,nan,0.10725650611330842,6.0,0
23/12/2023 18:10:10,nan,0.15353987686224072,7.0,0
23/12/2023 18:10:11,nan,0.23098266559371436,7.5,0
23/12/2023 18:10:11,nan,0.369627003276407,8.5,0
23/12/2023 18:10:12,nan,0.08995685033897452,9.5,0
23/12/2023 18:10:13,nan,0.21315204243456937,10.5,0
23/12/2023 18:10:13,nan,0.06300968851908122,11.0,0
23/12/2023 18:10:15,nan,0.1485576134274123,12.0,0
23/12/2023 18:10:15,nan,0.20644776082329205,12.5,0
23/12/2023 18:10:16,nan,0,12.5,0
23/12/2023 18:10:17,nan,0,13.0,0
23/12/2023 18:10:18,nan,0.19716740533636018,13.5,0
23/12/2023 18:10:19,nan,0.09431807446347328,14.0,0
23/12/2023 18:10:20,nan,0.03206841849184631,14.5,0
23/12/2023 18:10:22,nan,0.02080532201927847,15.5,0
23/12/2023 18:10:23,nan,0,15.5,0
23/12/2023 18:10:24,nan,0,16.0,0
23/12/2023 18:10:25,nan,0.014054743196231663,17.0,0
23/12/2023 18:10:26,nan,0.13081369461600276,17.5,0
23/12/2023 18:10:27,nan,0.0675811709465445,18.0,0
23/12/2023 18:10:28,nan,0,18.0,0
23/12/2023 18:10:30,nan,0,19.0,0
23/12/2023 18:10:31,nan,0,19.0,0
23/12/2023 18:10:32,nan,0,20.0,0
23/12/2023 18:10:33,nan,0.09995602069753343,20.5,0
23/12/2023 18:10:34,nan,0,20.5,0
23/12/2023 18:10:35,nan,0,21.0,0
23/12/2023 18:10:35,nan,0,21.0,0
23/12/2023 18:10:36,nan,0,21.5,0
23/12/2023 18:10:37,nan,0,21.5,0
23/12/2023 18:10:37,nan,0,22.0,0
23/12/2023 18:10:38,nan,0,22.0,0
23/12/2023 18:10:39,nan,0,22.5,0
23/12/2023 18:10:40,nan,0,22.5,0
23/12/2023 18:10:41,nan,0,23.0,0
23/12/2023 18:10:42,nan,0.10337839814763436,23.5,0
23/12/2023 18:10:43,nan,0.15127254863066122,24.0,0
23/12/2023 18:10:45,nan,0.02791435284021891,24.5,0
23/12/2023 18:10:45,nan,0.06549607614980396,25.0,0
23/12/2023 18:10:46,nan,0.009071998181998053,25.5,0
23/12/2023 18:10:47,nan,0.39882701295363243,26.0,0
23/12/2023 18:10:48,nan,0.37879908387101213,26.5,0
23/12/2023 18:10:48,nan,0.06806718478500116,27.0,0
23/12/2023 18:10:49,nan,0.07530658516115293,27.5,0
23/12/2023 18:10:50,nan,0.12451849139632735,28.0,0
23/12/2023 18:10:50,nan,0.1874932705481443,28.5,0
23/12/2023 18:10:51,nan,0.16190987405900228,29.0,0
23/12/2023 18:10:52,nan,0.0023038284414567335,29.5,0
23/12/2023 18:10:52,nan,0.15464774307352733,30.0,0
23/12/2023 18:10:53,nan,0,30.0,0
23/12/2023 18:10:54,nan,0,30.5,0
23/12/2023 18:10:55,nan,0.057840038353744905,31.0,0
23/12/2023 18:10:56,nan,0.11592500869798307,31.5,0
23/12/2023 18:10:57,nan,0,31.5,0
23/12/2023 18:10:57,nan,0,32.0,1
23/12/2023 18:10:58,nan,0.06802734971070935,32.5,1
